InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
483152,SKU_1773,Backpack,17,2020/3/1 05:00,49.35,44962,France,0.34,Bank Transfer,7.53,Stationery,Online,Not Returned,FedEx,Paris,High
194270,SKU_1019,Notebook,31,2020/3/1 06:00,33.54,91585,Norway,0.12,Bank Transfer,23.29,Stationery,Online,Not Returned,Royal Mail,London,High
891189,SKU_1439,Desk Lamp,25,2020/3/1 07:00,49.03,42992,Portugal,0.06,Bank Transfer,27.09,Furniture,Online,Not Returned,Royal Mail,Rome,Low
643385,SKU_1243,Backpack,34,2020/3/1 08:00,11.67,,Spain,0.17,Bank Transfer,21.47,Apparel,In-store,Not Returned,Royal Mail,,Medium
765755,SKU_1243,Wireless Mouse,47,2020/3/1 09:00,89.34,54713,Belgium,0.14,Credit Card,5.57,Apparel,In-store,Not Returned,FedEx,London,Low
247313,SKU_1970,White Mug,49,2020/3/1 10:00,56.78,15241,France,0.31,Credit Card,11.71,Apparel,In-store,Not Returned,FedEx,Amsterdam,High
990324,SKU_1391,Blue Pen,24,2020/3/1 11:00,54.29,78636,Portugal,0.08,paypall,7.13,Apparel,In-store,Returned,Royal Mail,London,Low
258768,SKU_1723,Notebook,34,2020/3/1 12:00,18.4,61953,United States,0.35,Bank Transfer,16.28,Accessories,Online,Not Returned,Royal Mail,Berlin,High
346726,SKU_1735,Headphones,23,2020/3/1 13:00,55.1,23977,Sweden,0.09,Bank Transfer,28.05,Electronics,In-store,Not Returned,DHL,Berlin,Low
956912,SKU_1864,Wall Clock,12,2020/3/1 14:00,98.39,43727,Italy,0.05,Credit Card,15.06,Furniture,Online,Not Returned,FedEx,Berlin,Low
670451,SKU_1261,Notebook,49,2020/3/1 15:00,12.94,29065,Spain,0.16,paypall,6.38,Electronics,Online,Not Returned,Royal Mail,Berlin,Low
119816,SKU_1219,Office Chair,24,2020/3/1 16:00,70.74,86912,Australia,0.44,Bank Transfer,15.19,Electronics,In-store,Not Returned,FedEx,London,Medium
857907,SKU_1007,Office Chair,17,2020/3/1 17:00,39.28,52981,Portugal,0.15,paypall,23.45,Apparel,Online,Not Returned,UPS,Berlin,High
414997,SKU_1445,USB Cable,5,2020/3/1 18:00,77.86,74516,Norway,0.36,paypall,24.34,Apparel,In-store,Not Returned,Royal Mail,Rome,Medium
255989,SKU_1013,Backpack,10,2020/3/1 19:00,52.32,56609,Norway,0.37,Credit Card,12.34,Furniture,In-store,Not Returned,DHL,Berlin,Low
721019,SKU_1386,Office Chair,43,2020/3/1 20:00,90.43,43054,France,0.04,Bank Transfer,7.81,Electronics,Online,Not Returned,Royal Mail,Paris,Medium
776926,SKU_1641,Backpack,15,2020/3/1 21:00,9.31,51433,Spain,0.36,Credit Card,8.65,Furniture,In-store,Not Returned,UPS,Paris,Low
306524,SKU_1021,Office Chair,14,2020/3/1 22:00,42.87,54382,Germany,0.05,Bank Transfer,18.42,Electronics,Online,Not Returned,UPS,Rome,High
687111,SKU_1224,T-shirt,45,2020/3/1 23:00,33.13,31643,United Kingdom,0.3,paypall,6.06,Electronics,In-store,Not Returned,FedEx,London,Medium
251878,SKU_1234,T-shirt,39,2020/3/2 00:00,88.67,66282,United States,0.08,paypall,27.87,Stationery,In-store,Not Returned,DHL,Berlin,High
830880,SKU_1340,Desk Lamp,16,2020/3/2 01:00,4.87,31826,Norway,0.04,paypall,20.64,Electronics,Online,Not Returned,FedEx,Amsterdam,High
626047,SKU_1965,Headphones,23,2020/3/2 02:00,18.78,92058,Belgium,0.14,paypall,25.97,Accessories,In-store,Not Returned,DHL,Amsterdam,Low
881452,SKU_1999,Office Chair,49,2020/3/2 03:00,47.1,93175,Germany,0.34,Bank Transfer,24.52,Apparel,Online,Returned,Royal Mail,London,Low
535165,SKU_1710,T-shirt,23,2020/3/2 04:00,54.21,81918,Australia,0.08,paypall,13.79,Stationery,Online,Not Returned,Royal Mail,Berlin,Medium
978806,SKU_1133,Headphones,16,2020/3/2 05:00,49.09,77070,Norway,0.35,Credit Card,13.67,Stationery,Online,Not Returned,UPS,Berlin,Medium
233554,SKU_1177,Wireless Mouse,33,2020/3/2 06:00,60.2,,United Kingdom,0.49,Bank Transfer,27.34,Accessories,In-store,Not Returned,Royal Mail,Amsterdam,Low
910874,SKU_1555,Office Chair,16,2020/3/2 07:00,93.01,19671,France,0.24,Credit Card,10.12,Apparel,In-store,Not Returned,FedEx,Amsterdam,Medium
551282,SKU_1519,Office Chair,2,2020/3/2 08:00,64.96,62729,Norway,0.38,paypall,29.78,Accessories,Online,Not Returned,UPS,Amsterdam,Low
193501,SKU_1791,Office Chair,30,2020/3/2 09:00,47.35,93930,France,0.25,Credit Card,25.16,Stationery,In-store,Not Returned,Royal Mail,London,Low
364223,SKU_1538,Desk Lamp,34,2020/3/2 10:00,61.04,39545,United Kingdom,0.15,Credit Card,24.78,Apparel,In-store,Returned,UPS,Rome,Medium
159676,SKU_1436,Notebook,40,2020/3/2 11:00,22,48205,United Kingdom,0.29,Bank Transfer,22.73,Accessories,In-store,Returned,UPS,Paris,Medium
841804,SKU_1050,Wireless Mouse,35,2020/3/2 12:00,6.56,69272,Netherlands,0.48,Bank Transfer,28.52,Electronics,Online,Not Returned,FedEx,Paris,Medium
273532,SKU_1923,Blue Pen,27,2020/3/2 13:00,69.33,53231,Spain,0.15,Credit Card,19.1,Accessories,In-store,Not Returned,FedEx,Paris,High
714685,SKU_1442,Headphones,48,2020/3/2 14:00,76.05,60710,Italy,0.36,paypall,14.61,Electronics,In-store,Returned,DHL,Amsterdam,Low
697135,SKU_1580,Headphones,36,2020/3/2 15:00,94.75,75978,United Kingdom,0.03,Bank Transfer,18.23,Electronics,Online,Not Returned,DHL,London,Medium
717895,SKU_1978,Blue Pen,30,2020/3/2 16:00,96.01,,Italy,0.29,paypall,24.56,Furniture,Online,Not Returned,Royal Mail,,High
320178,SKU_1968,Wireless Mouse,36,2020/3/2 17:00,87.78,68852,France,0.07,paypall,13.33,Stationery,In-store,Not Returned,FedEx,Rome,Medium
249521,SKU_1280,T-shirt,33,2020/3/2 18:00,91.58,57827,Italy,0.14,Bank Transfer,22.7,Stationery,In-store,Not Returned,Royal Mail,Amsterdam,Low
526752,SKU_1043,Headphones,1,2020/3/2 19:00,76.21,64160,Norway,0.01,Bank Transfer,29.72,Furniture,Online,Not Returned,Royal Mail,Paris,Medium
688365,SKU_1686,Backpack,33,2020/3/2 20:00,89.61,,France,0.4,paypall,16.97,Electronics,In-store,Not Returned,DHL,London,Medium
924690,SKU_1630,Wall Clock,2,2020/3/2 21:00,1.19,84197,Belgium,0.17,paypall,12.54,Accessories,Online,Returned,FedEx,London,High
803662,SKU_1364,USB Cable,12,2020/3/2 22:00,3.87,14672,Australia,0.18,Bank Transfer,7.88,Stationery,Online,Not Returned,FedEx,Berlin,High
357009,SKU_1887,White Mug,15,2020/3/2 23:00,76.99,,Belgium,0.3,Bank Transfer,21.88,Apparel,In-store,Not Returned,UPS,Berlin,Medium
237717,SKU_1268,Desk Lamp,7,2020/3/3 00:00,83.54,73760,United States,0.03,Credit Card,13.72,Furniture,In-store,Not Returned,UPS,Berlin,Low
481915,SKU_1692,Office Chair,3,2020/3/3 01:00,29.5,71573,Netherlands,0.05,Credit Card,13.05,Apparel,In-store,Not Returned,FedEx,Amsterdam,Low
662288,SKU_1564,Blue Pen,7,2020/3/3 02:00,6.01,85951,United Kingdom,0.09,Credit Card,14.58,Electronics,In-store,Not Returned,FedEx,Paris,High
651025,SKU_1292,T-shirt,45,2020/3/3 03:00,2.89,16720,France,0.11,Bank Transfer,12.46,Stationery,In-store,Not Returned,UPS,Paris,Low
897917,SKU_1702,Backpack,7,2020/3/3 04:00,8.48,11002,Norway,0.09,Credit Card,17.36,Furniture,In-store,Not Returned,DHL,London,Medium
400709,SKU_1193,Desk Lamp,49,2020/3/3 05:00,47.55,54323,Portugal,0.18,Bank Transfer,20.3,Apparel,Online,Not Returned,FedEx,Rome,Low
951587,SKU_1370,Backpack,16,2020/3/3 06:00,95.78,11741,Norway,0.04,paypall,17.62,Stationery,Online,Not Returned,Royal Mail,Amsterdam,Low
286240,SKU_1551,Wall Clock,47,2020/3/3 07:00,4.99,82678,Belgium,0.31,Bank Transfer,15.53,Apparel,Online,Not Returned,Royal Mail,Paris,Low
676775,SKU_1077,Wall Clock,32,2020/3/3 08:00,42.42,28140,Australia,0.21,paypall,27.17,Accessories,In-store,Not Returned,FedEx,Berlin,High
374486,SKU_1188,White Mug,28,2020/3/3 09:00,54.46,13320,Norway,0.19,Bank Transfer,28.37,Furniture,In-store,Not Returned,FedEx,Amsterdam,Medium
402950,SKU_1606,Headphones,-30,2020/3/3 10:00,-63.42,,Germany,1.783446388,paypall,,Accessories,Online,Not Returned,UPS,,Low
410914,SKU_1389,Wireless Mouse,36,2020/3/3 11:00,41.14,37596,Norway,0.09,Bank Transfer,28.41,Accessories,Online,Not Returned,DHL,Berlin,High
178623,SKU_1024,Blue Pen,48,2020/3/3 12:00,81.48,83787,Portugal,0.24,Bank Transfer,8.25,Apparel,Online,Not Returned,Royal Mail,Amsterdam,Low
465321,SKU_1614,Headphones,49,2020/3/3 13:00,17.26,99271,Norway,0.22,Bank Transfer,9.89,Accessories,In-store,Not Returned,Royal Mail,Paris,Low
962061,SKU_1301,Notebook,24,2020/3/3 14:00,2.51,19490,Spain,0.21,Bank Transfer,20.33,Apparel,Online,Not Returned,DHL,London,High
283675,SKU_1670,T-shirt,40,2020/3/3 15:00,74.54,70326,United States,0.2,Credit Card,25.03,Apparel,Online,Not Returned,Royal Mail,Paris,Medium
837334,SKU_1357,USB Cable,48,2020/3/3 16:00,94.49,61565,France,0,Credit Card,19.1,Stationery,In-store,Not Returned,FedEx,Berlin,Low
730235,SKU_1719,Wireless Mouse,22,2020/3/3 17:00,84.85,79956,Belgium,0.37,paypall,18.35,Electronics,In-store,Not Returned,Royal Mail,Rome,High
912831,SKU_1958,Notebook,6,2020/3/3 18:00,75.16,83975,Netherlands,0.22,Bank Transfer,8.94,Electronics,In-store,Not Returned,FedEx,Paris,Medium
752465,SKU_1858,White Mug,-17,2020/3/3 19:00,-11.36,,Belgium,1.144204607,Credit Card,,Accessories,Online,Not Returned,FedEx,,Medium
316454,SKU_1093,Wall Clock,36,2020/3/3 20:00,79.67,,Netherlands,0.49,Bank Transfer,23.56,Furniture,In-store,Not Returned,Royal Mail,London,Low
209575,SKU_1835,White Mug,41,2020/3/3 21:00,51.48,31190,Australia,0.48,Bank Transfer,28.85,Stationery,In-store,Not Returned,UPS,Rome,High
997336,SKU_1550,Wireless Mouse,12,2020/3/3 22:00,30.3,91783,Netherlands,0.41,Bank Transfer,23.42,Electronics,Online,Not Returned,DHL,Paris,High
307606,SKU_1335,T-shirt,15,2020/3/3 23:00,97.79,97606,Belgium,0.14,Credit Card,21.93,Accessories,Online,Not Returned,FedEx,Amsterdam,Medium
605815,SKU_1163,Headphones,6,2020/3/4 00:00,86.47,68144,France,0.05,Bank Transfer,28.69,Stationery,Online,Not Returned,FedEx,London,High
392822,SKU_1902,Office Chair,46,2020/3/4 01:00,41.65,38838,Sweden,0.27,Bank Transfer,7.83,Stationery,In-store,Not Returned,DHL,London,High
176218,SKU_1340,Backpack,15,2020/3/4 02:00,21.24,29907,Belgium,0.26,Credit Card,12.17,Electronics,Online,Not Returned,FedEx,London,High
687518,SKU_1833,Notebook,12,2020/3/4 03:00,89.89,24420,Portugal,0.15,paypall,8.37,Accessories,Online,Not Returned,FedEx,Berlin,Medium
870044,SKU_1566,Headphones,14,2020/3/4 04:00,42.03,51490,Norway,0.02,paypall,12.63,Furniture,Online,Not Returned,Royal Mail,Berlin,High
436199,SKU_1071,White Mug,2,2020/3/4 05:00,92.96,93691,Sweden,0.1,Bank Transfer,20.94,Stationery,Online,Not Returned,DHL,Paris,Low
549589,SKU_1041,Blue Pen,18,2020/3/4 06:00,31.6,60327,France,0.07,paypall,15.91,Stationery,In-store,Not Returned,DHL,Amsterdam,High
786840,SKU_1410,Office Chair,27,2020/3/4 07:00,42.06,92938,Germany,0.47,paypall,28.43,Furniture,In-store,Returned,Royal Mail,Berlin,Medium
578446,SKU_1897,Wall Clock,44,2020/3/4 08:00,90.72,37962,Germany,0.17,paypall,5.67,Stationery,Online,Not Returned,Royal Mail,Paris,Low
562052,SKU_1837,Backpack,17,2020/3/4 09:00,6.91,26173,Spain,0.35,Credit Card,8.23,Apparel,In-store,Not Returned,DHL,London,Medium
434402,SKU_1643,Headphones,44,2020/3/4 10:00,97.72,32636,Belgium,0.14,Bank Transfer,6.23,Electronics,Online,Not Returned,UPS,Amsterdam,High
139986,SKU_1020,USB Cable,25,2020/3/4 11:00,5.39,83986,Norway,0.43,Credit Card,26.07,Electronics,In-store,Not Returned,Royal Mail,Paris,High
779520,SKU_1000,Wall Clock,43,2020/3/4 12:00,60.66,72552,Germany,0.29,Credit Card,22.76,Stationery,In-store,Not Returned,UPS,Berlin,High
447739,SKU_1677,Blue Pen,6,2020/3/4 13:00,48.15,30210,United Kingdom,0.45,Bank Transfer,11.63,Furniture,In-store,Not Returned,DHL,Paris,High
725646,SKU_1571,Blue Pen,36,2020/3/4 14:00,58.37,94592,Norway,0.05,paypall,17.65,Electronics,In-store,Not Returned,FedEx,Rome,Low
572327,SKU_1075,Headphones,43,2020/3/4 15:00,37.73,71189,Spain,0.48,Bank Transfer,14.26,Stationery,Online,Not Returned,DHL,Berlin,Low
427073,SKU_1602,Headphones,25,2020/3/4 16:00,74.67,11057,Spain,0.15,Bank Transfer,23.57,Furniture,Online,Not Returned,UPS,Rome,High
697794,SKU_1397,Wireless Mouse,37,2020/3/4 17:00,77.49,25150,Belgium,0.49,paypall,20.7,Furniture,Online,Returned,UPS,Amsterdam,High
134911,SKU_1718,Wall Clock,49,2020/3/4 18:00,71.39,49041,Portugal,0.07,Bank Transfer,13.81,Stationery,In-store,Not Returned,Royal Mail,London,Medium
973559,SKU_1087,Desk Lamp,44,2020/3/4 19:00,4.38,46461,Norway,0.29,Credit Card,16.92,Furniture,Online,Not Returned,UPS,Berlin,High
525037,SKU_1593,Wireless Mouse,16,2020/3/4 20:00,1.55,99295,Sweden,0.24,Bank Transfer,16.6,Stationery,Online,Not Returned,Royal Mail,Amsterdam,Low
830399,SKU_1016,Office Chair,8,2020/3/4 21:00,67.69,92486,Spain,0.49,paypall,8.43,Electronics,In-store,Not Returned,DHL,Berlin,Medium
999885,SKU_1328,T-shirt,28,2020/3/4 22:00,12.61,72413,France,0.47,Bank Transfer,22.84,Stationery,In-store,Not Returned,FedEx,Amsterdam,High
708746,SKU_1942,Wall Clock,43,2020/3/4 23:00,6.27,16787,France,0.24,Bank Transfer,17.27,Stationery,Online,Not Returned,FedEx,London,Low
112175,SKU_1209,White Mug,-28,2020/3/5 00:00,-6.22,,Portugal,1.345090928,Credit Card,,Accessories,Online,Not Returned,FedEx,,Low
416915,SKU_1823,Office Chair,28,2020/3/5 01:00,2.54,13366,Netherlands,0.09,Credit Card,7,Furniture,In-store,Not Returned,FedEx,Berlin,Low
599876,SKU_1382,Backpack,31,2020/3/5 02:00,69.84,29947,Netherlands,0.16,Credit Card,26.23,Electronics,In-store,Not Returned,DHL,Paris,High
745588,SKU_1564,USB Cable,30,2020/3/5 03:00,98.02,89249,Italy,0.46,paypall,29.95,Electronics,Online,Returned,UPS,Rome,Low
711213,SKU_1639,Blue Pen,3,2020/3/5 04:00,56.39,72530,Spain,0.13,Bank Transfer,27.67,Apparel,In-store,Not Returned,FedEx,London,Medium
868734,SKU_1145,T-shirt,45,2020/3/5 05:00,65.73,52347,Norway,0.04,paypall,23.44,Accessories,Online,Not Returned,Royal Mail,London,High
166358,SKU_1452,Notebook,5,2020/3/5 06:00,70.85,99730,Italy,0.07,paypall,18.53,Accessories,In-store,Not Returned,FedEx,London,Medium
510543,SKU_1815,Notebook,41,2020/3/5 07:00,9.29,46039,Sweden,0.19,Credit Card,8.07,Furniture,Online,Not Returned,FedEx,Rome,Low
147057,SKU_1392,Wireless Mouse,35,2020/3/5 08:00,65.79,86261,United Kingdom,0.05,Credit Card,8.7,Furniture,Online,Not Returned,Royal Mail,Paris,Low
368294,SKU_1309,Headphones,4,2020/3/5 09:00,85.64,45451,Netherlands,0.01,Bank Transfer,9.2,Furniture,In-store,Not Returned,DHL,Berlin,Low
890857,SKU_1930,Backpack,25,2020/3/5 10:00,83.12,70895,Germany,0.18,paypall,13.22,Stationery,In-store,Not Returned,FedEx,London,Medium
354726,SKU_1491,Headphones,9,2020/3/5 11:00,30.37,52202,Belgium,0.16,paypall,9.56,Stationery,In-store,Not Returned,UPS,Rome,Low
378176,SKU_1759,Office Chair,47,2020/3/5 12:00,2.37,60693,Portugal,0.22,Credit Card,14.16,Apparel,Online,Not Returned,Royal Mail,London,Medium
626486,SKU_1429,Blue Pen,41,2020/3/5 13:00,66.72,87338,Netherlands,0.36,paypall,13.97,Stationery,Online,Not Returned,UPS,Amsterdam,High
808754,SKU_1000,Wall Clock,33,2020/3/5 14:00,71.34,81049,Portugal,0.21,Bank Transfer,9.06,Furniture,Online,Not Returned,DHL,Berlin,Medium
267292,SKU_1040,T-shirt,5,2020/3/5 15:00,93.77,32975,France,0.02,Bank Transfer,21.73,Stationery,In-store,Not Returned,DHL,Rome,Low
244931,SKU_1584,Blue Pen,39,2020/3/5 16:00,9.45,12320,France,0.44,Bank Transfer,18.25,Stationery,Online,Not Returned,UPS,London,Medium
543676,SKU_1671,USB Cable,6,2020/3/5 17:00,96.03,11868,Belgium,0.07,Bank Transfer,25.5,Furniture,Online,Not Returned,UPS,Paris,Medium
262491,SKU_1211,Notebook,8,2020/3/5 18:00,2.94,86103,Germany,0,paypall,17.94,Electronics,In-store,Not Returned,UPS,London,Medium
481009,SKU_1332,Wall Clock,27,2020/3/5 19:00,44.82,98546,Belgium,0.43,Credit Card,20.42,Accessories,In-store,Not Returned,FedEx,Rome,High
501921,SKU_1807,White Mug,44,2020/3/5 20:00,41.17,37772,Netherlands,0.17,Bank Transfer,12.61,Apparel,In-store,Not Returned,FedEx,Berlin,High
360910,SKU_1650,Backpack,35,2020/3/5 21:00,2.18,65899,Italy,0.38,Credit Card,13.04,Furniture,Online,Not Returned,Royal Mail,Berlin,High
123236,SKU_1445,Desk Lamp,24,2020/3/5 22:00,75.53,64117,Australia,0.12,Credit Card,18.74,Stationery,Online,Not Returned,UPS,Berlin,Low
187955,SKU_1941,Desk Lamp,35,2020/3/5 23:00,2.67,61450,Italy,0.25,Credit Card,11.87,Stationery,In-store,Not Returned,Royal Mail,Berlin,Low
840874,SKU_1303,Backpack,27,2020/3/6 00:00,81.41,52989,Italy,0.22,Credit Card,28.56,Stationery,In-store,Not Returned,FedEx,Amsterdam,Low
727433,SKU_1554,USB Cable,40,2020/3/6 01:00,32.44,46006,Portugal,0.13,Bank Transfer,9.18,Stationery,Online,Not Returned,FedEx,Rome,Medium
770718,SKU_1690,Office Chair,32,2020/3/6 02:00,19.9,76750,Germany,0.23,Credit Card,8.95,Apparel,Online,Not Returned,UPS,Paris,Low
330785,SKU_1700,Office Chair,15,2020/3/6 03:00,50.2,36477,Sweden,0.01,Credit Card,28.28,Electronics,Online,Not Returned,DHL,Amsterdam,Medium
194914,SKU_1757,Wall Clock,46,2020/3/6 04:00,3.56,32792,United Kingdom,0.45,Credit Card,9.39,Stationery,Online,Returned,DHL,Rome,High
989302,SKU_1809,Office Chair,8,2020/3/6 05:00,17.25,57615,Netherlands,0.03,Credit Card,27.44,Apparel,Online,Not Returned,Royal Mail,London,Low
307990,SKU_1153,Blue Pen,-3,2020/3/6 06:00,-93.29,,Australia,1.824074925,Bank Transfer,,Accessories,In-store,Not Returned,UPS,,High
478387,SKU_1615,Headphones,44,2020/3/6 07:00,91.3,34211,Italy,0.3,Credit Card,10.4,Electronics,In-store,Not Returned,FedEx,Paris,Medium
638884,SKU_1522,Headphones,8,2020/3/6 08:00,22.76,32087,Belgium,0.22,paypall,10.48,Furniture,In-store,Not Returned,FedEx,London,Low
756639,SKU_1024,T-shirt,39,2020/3/6 09:00,14.51,81020,Spain,0.03,Bank Transfer,20.76,Furniture,Online,Returned,FedEx,Amsterdam,Low
294269,SKU_1807,Desk Lamp,-47,2020/3/6 10:00,-51.81,,Spain,1.199027138,Bank Transfer,,Stationery,Online,Not Returned,UPS,,High
997928,SKU_1024,Wireless Mouse,24,2020/3/6 11:00,68.17,38052,Spain,0.16,Credit Card,19.97,Stationery,In-store,Not Returned,Royal Mail,Amsterdam,Medium
492417,SKU_1595,Headphones,38,2020/3/6 12:00,27.29,94857,Norway,0.35,Credit Card,29.42,Accessories,In-store,Not Returned,Royal Mail,Rome,High
238155,SKU_1105,Blue Pen,2,2020/3/6 13:00,23,44868,France,0.21,Credit Card,22.86,Apparel,Online,Not Returned,DHL,Amsterdam,Medium
220674,SKU_1752,Wall Clock,47,2020/3/6 14:00,99.01,27310,Australia,0.48,Bank Transfer,20.75,Electronics,Online,Not Returned,DHL,London,High
881817,SKU_1118,Blue Pen,32,2020/3/6 15:00,49.24,12794,Australia,0.32,Credit Card,23.22,Electronics,In-store,Returned,FedEx,Amsterdam,High
864757,SKU_1970,Blue Pen,48,2020/3/6 16:00,88.66,,Portugal,0.25,Credit Card,21.71,Apparel,In-store,Not Returned,DHL,,Medium
356713,SKU_1107,Desk Lamp,7,2020/3/6 17:00,38.71,11145,United Kingdom,0.2,Bank Transfer,6,Accessories,In-store,Not Returned,UPS,London,Low
541501,SKU_1329,Wireless Mouse,33,2020/3/6 18:00,7.08,81198,Sweden,0.07,Credit Card,19.67,Accessories,In-store,Returned,Royal Mail,Rome,High
643351,SKU_1179,USB Cable,23,2020/3/6 19:00,28.07,52158,Belgium,0.22,Bank Transfer,14.27,Accessories,Online,Returned,DHL,Paris,High
167642,SKU_1880,Wireless Mouse,29,2020/3/6 20:00,65.36,77305,Germany,0.24,Bank Transfer,28.9,Electronics,In-store,Not Returned,Royal Mail,Berlin,Medium
190093,SKU_1130,Notebook,46,2020/3/6 21:00,54.88,53276,Spain,0.22,paypall,14.61,Furniture,In-store,Not Returned,UPS,Berlin,Medium
607606,SKU_1806,T-shirt,32,2020/3/6 22:00,36.48,16999,United States,0.5,Bank Transfer,10.54,Apparel,Online,Not Returned,UPS,Berlin,Low
317215,SKU_1602,Headphones,45,2020/3/6 23:00,51.94,13183,Norway,0.05,Credit Card,24.99,Furniture,Online,Not Returned,DHL,Amsterdam,Medium
807280,SKU_1930,Headphones,-8,2020/3/7 00:00,99.71,,Sweden,0.04,paypall,,Electronics,Online,Not Returned,UPS,,Low
783889,SKU_1752,Wireless Mouse,48,2020/3/7 01:00,69.96,16846,Netherlands,0.23,Credit Card,5.75,Stationery,Online,Not Returned,UPS,Paris,High
135954,SKU_1758,White Mug,29,2020/3/7 02:00,65.84,39154,United Kingdom,0.23,Credit Card,21.85,Stationery,Online,Not Returned,Royal Mail,Berlin,Medium
127856,SKU_1167,Wall Clock,12,2020/3/7 03:00,55.98,88604,Netherlands,0.42,paypall,22.65,Stationery,In-store,Not Returned,UPS,London,Medium
626861,SKU_1222,Wireless Mouse,38,2020/3/7 04:00,19.18,14982,United Kingdom,0.12,paypall,22.33,Accessories,In-store,Not Returned,DHL,Rome,Medium
659655,SKU_1468,White Mug,2,2020/3/7 05:00,62.18,70034,Sweden,0.42,Bank Transfer,7.83,Apparel,Online,Not Returned,FedEx,Berlin,Low
595553,SKU_1277,USB Cable,-8,2020/3/7 06:00,58.26,,Australia,0.39,Credit Card,,Stationery,Online,Returned,DHL,,Low
862092,SKU_1189,Desk Lamp,40,2020/3/7 07:00,78.92,68728,Italy,0.22,Credit Card,7.51,Stationery,In-store,Not Returned,Royal Mail,Rome,Medium
986040,SKU_1530,Wireless Mouse,8,2020/3/7 08:00,33.38,13751,Norway,0.16,Bank Transfer,27.26,Furniture,In-store,Not Returned,Royal Mail,Amsterdam,High
422918,SKU_1525,Headphones,19,2020/3/7 09:00,40.69,95967,Sweden,0.43,Bank Transfer,9.79,Furniture,In-store,Not Returned,Royal Mail,Amsterdam,Low
123752,SKU_1996,Backpack,37,2020/3/7 10:00,99.23,,Belgium,0.02,Credit Card,22.94,Stationery,Online,Not Returned,DHL,Berlin,Medium
941461,SKU_1754,Office Chair,9,2020/3/7 11:00,35.35,96100,United States,0.45,paypall,29.32,Furniture,Online,Not Returned,DHL,London,Low
248757,SKU_1620,Wireless Mouse,15,2020/3/7 12:00,55.48,50479,Sweden,0.22,Bank Transfer,14.25,Electronics,Online,Not Returned,DHL,Amsterdam,Medium
413837,SKU_1945,USB Cable,25,2020/3/7 13:00,32.67,61638,Germany,0.31,Bank Transfer,10.94,Apparel,In-store,Not Returned,DHL,Berlin,Medium
216739,SKU_1189,Headphones,12,2020/3/7 14:00,65.05,36097,United States,0.16,paypall,14.06,Stationery,Online,Not Returned,UPS,Paris,High
942393,SKU_1982,T-shirt,-49,2020/3/7 15:00,-77.48,,Netherlands,1.947140292,Bank Transfer,,Accessories,In-store,Not Returned,DHL,,Low
338009,SKU_1217,Wall Clock,11,2020/3/7 16:00,68.85,12082,United Kingdom,0.19,Credit Card,11.89,Apparel,Online,Not Returned,UPS,London,Medium
880316,SKU_1298,Headphones,32,2020/3/7 17:00,56.51,38233,Belgium,0.45,Credit Card,29.32,Apparel,In-store,Not Returned,DHL,Berlin,High
307980,SKU_1310,Wall Clock,24,2020/3/7 18:00,31.85,26494,Australia,0.15,Bank Transfer,23.82,Apparel,In-store,Not Returned,Royal Mail,London,High
356609,SKU_1235,White Mug,-17,2020/3/7 19:00,-58.85,,Australia,0.2,paypall,,Furniture,In-store,Not Returned,UPS,,Low
488822,SKU_1167,Notebook,21,2020/3/7 20:00,77.56,92473,United Kingdom,0.31,Bank Transfer,26.19,Stationery,Online,Not Returned,UPS,Paris,Low
436676,SKU_1779,White Mug,32,2020/3/7 21:00,16.34,68900,Portugal,0.44,Bank Transfer,10.86,Accessories,Online,Not Returned,DHL,Rome,Low
444138,SKU_1192,USB Cable,6,2020/3/7 22:00,44.85,16930,Australia,0.15,Credit Card,10.75,Furniture,In-store,Returned,UPS,Rome,Medium
418277,SKU_1241,Backpack,20,2020/3/7 23:00,87.66,34257,Norway,0.13,paypall,27.57,Apparel,In-store,Not Returned,DHL,Amsterdam,High
618271,SKU_1161,Notebook,38,2020/3/8 00:00,50.65,51217,Sweden,0.07,Bank Transfer,23.67,Stationery,Online,Not Returned,DHL,Amsterdam,Medium
423412,SKU_1875,Headphones,44,2020/3/8 01:00,90.05,84159,Norway,0.18,paypall,21.43,Accessories,Online,Not Returned,UPS,Amsterdam,High
585417,SKU_1338,Blue Pen,16,2020/3/8 02:00,9.27,25469,France,0.36,Credit Card,8.44,Apparel,In-store,Not Returned,DHL,Berlin,High
531459,SKU_1790,Desk Lamp,28,2020/3/8 03:00,27.62,20032,Norway,0.08,Bank Transfer,22.46,Electronics,Online,Not Returned,UPS,Berlin,Medium
288456,SKU_1454,Notebook,22,2020/3/8 04:00,51.01,56221,Netherlands,0.43,Credit Card,22.18,Furniture,In-store,Not Returned,UPS,Paris,High
655941,SKU_1134,Wall Clock,43,2020/3/8 05:00,19.89,44640,Germany,0.16,Credit Card,16.29,Stationery,Online,Not Returned,DHL,Amsterdam,Low
257729,SKU_1192,Notebook,23,2020/3/8 06:00,57.89,44676,Germany,0.32,paypall,7.65,Accessories,In-store,Not Returned,DHL,Paris,High
328504,SKU_1401,Desk Lamp,33,2020/3/8 07:00,48.61,66370,Italy,0.18,Credit Card,23.71,Stationery,In-store,Not Returned,DHL,Rome,Low
